task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	84/9ca92e	2538147	PGSCATALOG_PGSCCALC:PGSCCALC:DOWNLOAD_SCOREFILES ([pgs_id:PGS000577, pgp_id:, trait_efo:])	COMPLETED	0	2026-05-31 04:18:37.515	5.9s	5.1s	59.0%	50.7 MB	265.8 MB	13.2 MB	4 MB
2	dd/c35a7c	2538590	PGSCATALOG_PGSCCALC:PGSCCALC:MAKE_COMPATIBLE:PLINK2_VCF (HG00096 chromosome ALL)	COMPLETED	0	2026-05-31 04:18:43.478	926ms	33ms	95.2%	3.2 MB	4.2 MB	189.8 KB	46.6 KB
3	de/e4e605	2538868	PGSCATALOG_PGSCCALC:PGSCCALC:INPUT_CHECK:FORMAT_SCOREFILES (1)	COMPLETED	0	2026-05-31 04:18:44.420	3.7s	2.9s	95.3%	35.5 MB	45.7 MB	11.7 MB	4 MB
4	db/730594	2539255	PGSCATALOG_PGSCCALC:PGSCCALC:MATCH:MATCH_VARIANTS (HG00096 chromosome ALL)	COMPLETED	0	2026-05-31 04:18:48.179	4.2s	3.3s	97.2%	61.9 MB	147.2 MB	17.8 MB	4.1 MB
5	a6/110c68	2539715	PGSCATALOG_PGSCCALC:PGSCCALC:MATCH:MATCH_COMBINE (HG00096)	COMPLETED	0	2026-05-31 04:18:52.482	4.4s	3.6s	96.2%	59.7 MB	150.4 MB	17.8 MB	4 MB
6	fa/be4063	2540175	PGSCATALOG_PGSCCALC:PGSCCALC:APPLY_SCORE:PLINK2_SCORE (HG00096 chromosome ALL effect type additive 0)	COMPLETED	0	2026-05-31 04:18:56.990	722ms	24ms	106.7%	3.2 MB	4.2 MB	88 KB	4.2 KB
7	52/25f7ad	2540447	PGSCATALOG_PGSCCALC:PGSCCALC:APPLY_SCORE:SCORE_AGGREGATE (HG00096)	COMPLETED	0	2026-05-31 04:18:57.770	8.2s	7.5s	139.3%	197.1 MB	1.1 GB	59 MB	4.6 MB
8	69/07295c	2541117	PGSCATALOG_PGSCCALC:PGSCCALC:REPORT:SCORE_REPORT (HG00096)	COMPLETED	0	2026-05-31 04:19:06.092	13.4s	12.2s	110.4%	345.4 MB	1 TB	33.3 MB	4.9 MB
9	5c/509041	2542531	PGSCATALOG_PGSCCALC:PGSCCALC:DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2026-05-31 04:19:19.497	800ms	115ms	102.8%	6.3 MB	10.3 MB	809.5 KB	2.9 KB
